"nspp","altmed","rangoalt","shannon","tempmin","precip"
41,212,160,1.64,5.2,230.3
47,1164,311,1.04,-1.4,273.7
63,355,190,1.09,2.6,292.5
55,1067,273,1.75,2.9,272.7
49,691,590,0.94,2.4,368.7
59,238,103,1.58,5.1,202.2
55,304,200,1.49,2.9,109.9
42,999,628,1.55,2.9,333.1
57,1069,349,1.44,-0.1,147.3
72,322,347,1.97,6.3,366.5
69,481,291,1.35,3.8,306.8
65,328,307,0.95,4.8,229
71,368,431,1.74,5.2,241.5
42,750,744,2.29,2.7,541.9
68,308,196,1.34,3.6,324.7
45,737,566,1.88,0.4,117.1
47,863,106,0.68,-0.2,150.7
43,721,1033,2.49,6.3,838.4
52,687,273,1.94,3.8,79.1
42,774,77,0.91,0.6,122.2
70,275,53,1.05,4.9,213.1
26,1068,872,1.6,0.3,448.8
69,772,949,1.98,3,364.5
60,348,325,1.56,4.6,231.3
34,1082,403,1.9,1.1,177.5
47,517,476,1.84,5.1,72.7
36,992,1450,1.39,1.6,490.5
54,77,361,2.83,5,536.3
39,1125,1562,1.9,1.4,415.4
56,391,195,1.72,4,363.9
63,769,541,1.91,2.2,359.4
55,514,441,1.96,0.1,119.2
84,272,156,1.84,4,347.5
64,676,479,1.58,0,139.7
55,1493,2042,1.87,-1.9,221.9
56,226,192,1.23,1.7,97.5
64,545,219,0.99,2.2,363.3
45,1196,1132,1.9,0.9,246
71,1135,263,2.16,0.3,123.3
66,853,120,1.22,-0.1,196.8
46,846,108,0.36,0.6,113.2
49,1581,1010,1.73,0.4,199.2
43,1192,1096,2.07,0.5,264.2
45,390,770,2.47,4.4,547.9
78,512,167,1.61,5.5,292.4
49,188,474,1.83,5.8,679.1
53,887,74,0.64,-0.4,170.9
64,917,603,1.19,0.5,180.9
33,1035,178,0.98,0.1,163
54,305,211,1.14,3,82.7
51,460,360,1.56,2.7,87.1
48,483,720,1.8,5.1,208.6
58,759,605,1.87,2.1,511.5
62,1112,342,2.07,-0.6,164.4
78,169,502,1.38,5.6,640.7
50,688,500,1.53,4.3,148.1
45,1045,304,1.46,-0.7,91.7
40,1115,1316,2.65,1.9,369.4
56,834,53,1.62,0.2,175.6
67,543,159,1.79,2.1,161.5
94,18,57,1.61,7.5,325.5
61,161,498,2.2,9.3,540.3
65,310,195,2.31,3.8,382
46,1375,1038,1.89,-0.1,203.7
52,463,421,2.02,4.4,369.1
61,700,98,1.73,1.7,127.7
62,228,83,1.38,3.5,367.4
39,571,118,1.51,1.8,130.4
64,910,69,1.49,-0.6,200
62,1051,161,2.13,-1.3,230.2
47,1331,607,1.81,-0.7,191.9
54,506,347,1.57,0.6,105.2
57,683,360,1.64,0.6,177.8
84,438,157,1.37,4,319.3
42,1336,1240,1.36,0.7,388.5
75,376,656,2.06,2.3,287.2
56,331,866,2.06,4.2,755.2
30,47,56,1.91,7.1,343.1
63,837,1063,2.07,3.8,438.6
63,881,127,1.61,-0.5,150.2
62,690,662,2.2,1.8,203.5
33,696,853,1.64,2.9,555.1
57,994,319,1.84,0.3,239.5
25,1139,882,1.64,2.6,136.5
43,1076,885,1.65,1.3,496.7
41,1109,1468,2.25,1.5,496.5
56,348,608,1.76,4.3,128.5
79,670,709,2.04,0.1,167.7
54,303,161,1.44,2.4,130.6
77,1082,300,2.29,-1,210.9
53,135,372,1.83,4.6,560.4
59,870,163,1.46,0.3,128.7
54,651,411,1.53,3.5,115
53,915,112,1.21,-0.2,168.2
59,692,176,1.87,0.3,160.4
42,1970,1718,2.02,-2.1,224.7
39,1451,996,1.82,-0.3,478.5
28,419,279,1.37,6.4,386
45,48,104,1.31,7.4,68.4
62,833,309,2.15,0.5,90.3
50,404,208,0.64,4.2,333.8
47,691,184,2.08,0.7,128.7
49,897,404,1.84,2,320.2
22,2315,1585,1.27,-1.3,183.6
57,904,419,1.6,-0.1,187.7
47,715,643,1.64,5.5,151.7
50,884,774,1.51,1.1,180.3
74,85,225,1.69,3.9,585.1
63,644,576,1.7,4.5,190.8
59,718,453,1.21,2.6,258.7
55,1138,536,1.72,2.5,203.6
73,836,69,1.93,-0.5,159.4
65,615,456,1.56,3.3,261.5
35,1239,629,1.54,-1.3,151.4
59,660,416,1.92,4.8,73.6
57,310,421,1,6.2,362.1
53,223,638,2.39,4.6,802.8
66,502,718,1.85,3.1,131.8
52,326,680,1.89,4,523
56,644,751,2.18,2.8,537.3
41,724,260,1.14,0.4,142.9
50,1062,283,1.76,-0.7,176.7
78,924,192,2.19,-0.8,175.2
38,249,710,1.64,7.1,761.3
78,426,258,1.21,4.8,239.1
56,901,128,1.17,-0.3,148.4
33,1056,201,1.87,-1.2,295
50,3,15,0.82,7.1,345.9
47,539,472,1.31,5.8,401.2
43,296,498,1.49,3.9,459.1
50,682,523,1.98,3,576
59,1146,897,2.41,-1.6,212.7
39,991,319,1.31,0,153.9
44,140,516,1.89,5,657.5
51,548,103,1.25,2,132.1
54,832,905,2.17,3.4,530.9
62,556,307,1.3,3.5,284.9
65,896,641,2,1.9,271.8
47,1213,884,2.13,-0.6,190.3
55,167,326,1.72,4.7,151.4
69,348,179,1.65,2.4,123.1
46,1266,579,2.13,1.1,101.5
51,5,69,2.29,8.8,369.9
32,530,158,2.16,2,138.7
45,518,667,1.53,6.5,66.4
49,64,232,1.57,6.8,119.6
59,59,121,1.55,8.1,342.1
40,1191,982,1.76,-1.1,142.9
55,979,907,2.57,-1,212.8
62,285,198,2.1,4.6,231.2
54,871,412,1.38,1.8,176.3
47,225,660,2.16,5.2,747.3
53,579,444,2.19,3.3,224
62,559,129,1.08,2.1,136.7
49,842,944,2.16,1.3,230
51,979,399,2.09,2.4,193.8
66,1457,826,1.78,0,212.8
41,1401,1237,2.19,1.2,599.2
58,793,352,2.57,2.2,307.3
54,447,321,1.46,3,97.5
59,545,285,1.71,3.2,266.7
44,695,47,1.17,2.2,169.6
43,745,435,1.45,2.1,494.6
