"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Crateroscelis nigrorufa","Acanthizidae","Passeriformes",16,9.5,3.5,3.2,23.1,60.6,52.7,6.8,40.8,11.4,15.9,"Forest",1,1,"Carnivore","Invertivore","Tr",-10.05,-3.04,-5.46,142.22,105189.03
"Indicator exilis","Indicatoridae","Piciformes",8.4,5,4.3,4,13,68.8,55,13.8,43.4,20,17.9,"Forest",1,1,"Carnivore","Invertivore","In",-13.36,13.07,1.24,16.28,4132641.71
"Francolinus swainsonii","Phasianidae","Galliformes",30.6,19.3,11.3,10.9,52.8,186.5,146.4,40.1,73.5,21.4,597.1,"Grassland",2,1,"Herbivore","Omnivore","Tr",-29.5,-10.6,-20.72,26.28,1549732.16
"Atlapetes nationi","Emberizidae","Passeriformes",17.4,10.2,8.2,5.6,30.1,81,73.5,8.2,79.2,10.1,41.6,"Shrubland",2,1,"Omnivore","Omnivore","Gn",-16.69,-10.72,-14.04,-74.59,33065.05
"Andigena hypoglauca","Ramphastidae","Piciformes",91.2,80.7,29,25.9,41,171,152,18.1,170,10.7,312.8,"Forest",1,1,"Herbivore","Frugivore","In",-13.45,5.17,-4.97,-76.42,122389.53
"Leptasthenura striata","Furnariidae","Passeriformes",10.3,6.7,3,2.4,17.9,60.6,51.1,9.4,92,15.5,8.9,"Shrubland",2,1,"Carnivore","Invertivore","In",-20.03,-8.44,-14.34,-73.55,188336.2
"Toxostoma crissale","Mimidae","Passeriformes",32.1,22.3,6.1,5.7,29.6,101.2,81.5,19.5,109.4,19.3,62.7,"Shrubland",2,1,"Carnivore","Invertivore","Tr",19.69,37.27,29.73,-107.36,1010689.86
"Artamus cinereus","Artamidae","Passeriformes",21,13.4,7,6,22.3,119.9,75.5,45.7,67.7,37.7,35.6,"Woodland",2,1,"Carnivore","Invertivore","Ar",-37.08,-7.05,-24.9,133.79,7423572.8
"Dicaeum maugei","Dicaeidae","Passeriformes",10.2,5.8,3.5,3.1,13.1,54.4,44.8,9.2,29.8,17,8.5,"Forest",1,1,"Herbivore","Frugivore","In",-10.94,-5.77,-9.11,123.92,36904.29
"Erithacus akahige","Muscicapidae","Passeriformes",14.9,8.2,3.8,3.2,27.7,71.1,53.3,17.6,53,24.8,17,"Forest",1,1,"Carnivore","Invertivore","Tr",31.93,49.44,40.1,140.24,215839.2
"Poecilodryas placens","Petroicidae","Passeriformes",17.2,9.8,4.9,5,19.6,86.5,67,19.5,51.2,22.5,25.5,"Forest",2,1,"Carnivore","Invertivore","In",-9.27,-0.76,-5.36,140.33,18802.3
"Phylloscopus coronatus","Sylviidae","Passeriformes",13,7.4,3.1,3.2,16.6,61.3,47.5,13.8,47.4,22.6,10.1,"Woodland",2,3,"Carnivore","Invertivore","In",26.98,54.57,44.03,128.7,2148136.05
"Ptilinopus coronulatus","Columbidae","Columbiformes",15.7,7.7,3.6,3.7,19.7,117,83,34,63.8,29.1,76.6,"Forest",2,1,"Herbivore","Frugivore","In",-10.73,-0.34,-5.36,140.95,670308.78
"Phaenicophaeus calyorhynchus","Cuculidae","Cuculiformes",42,26.2,17.3,12.4,40.2,176.1,152.8,21,304.4,12.1,117,"Forest",2,1,"Carnivore","Invertivore","In",-5.71,1.76,-2.1,121.11,167233.25
"Serpophaga hypoleuca","Tyrannidae","Passeriformes",11.3,6.3,2.6,3.1,17.1,47.1,39.5,7.6,45.1,16.1,6.1,"Shrubland",2,1,"Carnivore","Invertivore","In",-13.49,8.57,-3.42,-63.61,557853.94
