"Species","Family","Order","BkL","BNL","BkD","BkW","TsL","WnL","SWL","KpD","TlL","HWI","Mass","Habitat","Hab.Dns","Migrt","TrphL","Trph.Nch","Life.stl","MinLat","MaxLat","CntLat","CntLon","RngSz"
"Pelecanoides urinatrix","Pelecanoididae","Procellariiformes",28.1,13.1,7.2,6.4,23.9,121.7,62.2,56.8,39,47.7,152.1,"Marine",3,2,"Carnivore","Aquatic predator","Aq",-63.56,-24.03,-46.17,65.55,21746036.6
"Chrysocolaptes lucidus","Picidae","Piciformes",44.3,33.3,10.7,10.2,28.1,148.9,117.7,31.4,83.8,21,142,"Woodland",2,1,"Carnivore","Invertivore","In",-8.85,31.49,16.72,98.78,2880470.87
"Nemosia rourei","Thraupidae","Passeriformes",9.5,9.3,5.2,6.1,19,84.5,66.5,18,56.9,21.3,22,NA,1,1,"Carnivore","Invertivore","In",-20.56,-19.89,-20.38,-41.17,52.79
"Compsospiza garleppi","Thraupidae","Passeriformes",17.9,10.6,6.7,5.1,27.2,86.8,77.9,8.8,81.5,10.2,32.5,"Shrubland",2,1,"Omnivore","Omnivore","In",-18.19,-17.23,-17.57,-65.8,2895.12
"Ardeotis arabs","Otididae","Otidiformes",87.4,49.1,14.3,16.6,163.4,539.5,293.5,246,276.2,46,5943.5,"Grassland",3,1,"Omnivore","Omnivore","Tr",3.94,21.92,13.89,19.68,2950367.62
"Crateroscelis murina","Acanthizidae","Passeriformes",15.3,8,3.6,3.7,22.4,59.3,49,7.6,35.3,13.4,15,"Forest",1,1,"Carnivore","Invertivore","Tr",-10.7,-0.01,-5.19,141.02,531992.39
"Cleptornis marchei","Zosteropidae","Passeriformes",18,9.3,4,3.6,25.1,72.3,61.5,10.7,60.4,14.8,20.2,"Forest",2,1,"Herbivore","Frugivore","In",14.84,15.29,15.17,145.75,134.47
"Alcedo websteri","Alcedinidae","Coraciiformes",52.6,39.3,11.8,8.6,12.1,89,68,21,40,23.6,61,"Riverine",2,1,"Carnivore","Aquatic predator","In",-6.32,-2.36,-4.62,150.68,13725.07
"Crypturellus noctivagus","Tinamidae","Tinamiformes",32.9,12.5,5.3,6.1,53.9,182.2,138.3,43.9,61.8,24.1,562,"Forest",1,1,"Herbivore","Omnivore","Tr",-30.22,-7.13,-16.47,-43.19,1469564.58
"Daption capense","Procellariidae","Procellariiformes",36.6,21.6,9.3,10.8,42.6,249.8,99.8,145.5,94,59.4,429.6,"Marine",3,2,"Carnivore","Aquatic predator","Gn",-85.58,-8.36,-48.84,-12.47,136304432.2
"Sheppardia aequatorialis","Muscicapidae","Passeriformes",12.9,7.1,3.7,3.7,20.9,67.2,57.8,9.4,50.2,14.1,16.8,"Forest",1,1,"Carnivore","Invertivore","In",-4.39,4.34,-0.69,31.59,137290.29
"Anabacerthia striaticollis","Furnariidae","Passeriformes",18.6,10.2,5.4,3.8,20,87.3,71.7,15.8,76.1,18,24.8,"Forest",1,1,"Carnivore","Invertivore","In",-17.03,11.18,-1.55,-73.77,335322.02
"Numenius minutus","Scolopacidae","Charadriiformes",46.4,33.2,4.7,4.2,47.6,175,77.8,99.5,75.6,56.1,173,"Grassland",3,3,"Carnivore","Aquatic predator","Tr",62.11,71.69,67.89,134.75,966958.06
"Turdoides bicolor","Timaliidae","Passeriformes",28.8,16.3,7,4.8,33.1,109.6,94.6,13.4,117.2,12.4,78.3,"Woodland",2,1,"Carnivore","Invertivore","Tr",-28.34,-17.27,-22.05,22.37,1101560.2
"Neomorphus pucheranii","Cuculidae","Cuculiformes",51,33,18.4,13.2,68.7,168.3,158.5,9.9,252.7,5.8,330,"Forest",1,1,"Carnivore","Invertivore","Tr",-8.97,-0.02,-4.07,-69.85,1098665.74
"Centropus andamanensis","Cuculidae","Cuculiformes",37.7,22.3,13.5,8.5,51.4,172.6,156,19.8,251.8,11.2,164,"Forest",2,1,"Carnivore","Invertivore","Tr",6.75,14.19,11.54,92.93,6771.83
"Stipiturus malachurus","Maluridae","Passeriformes",11.2,5.4,2.5,2,18.6,42.2,36.3,7,95.3,16.1,7.3,"Shrubland",3,1,"Carnivore","Invertivore","Gn",-43.64,-25.24,-34.09,136.01,687011.19
"Batis minor","Platysteiridae","Passeriformes",15.4,7.8,3.8,5.3,16.8,58.5,50.9,7.5,42.2,12.7,12.5,"Woodland",2,1,"Carnivore","Invertivore","In",-10.91,16.35,3.98,26.84,4645431.01
"Acrocephalus baeticatus","Sylviidae","Passeriformes",19.5,8.6,2.9,3,20.5,59.1,47.9,10.7,49.2,18.2,10.2,"Wetland",3,3,"Carnivore","Invertivore","In",NA,NA,NA,NA,NA
"Grallaria griseonucha","Formicariidae","Passeriformes",21,12,6.9,5,45.3,83,74.3,8.8,36.8,10.6,44.8,"Forest",1,1,"Carnivore","Invertivore","Tr",7.45,9.52,8.51,-71.19,8253.14
"Herpsilochmus motacilloides","Thamnophilidae","Passeriformes",15.1,8.8,3.8,3.9,17.8,52.9,48.6,4.7,56.8,8.7,12.5,"Forest",1,1,"Carnivore","Invertivore","In",-13.5,-9.15,-11.6,-73.93,74742.79
"Megascops choliba","Strigidae","Strigiformes",21.8,12.1,11.7,7,30,162.8,124.5,33.6,91.3,21,132,"Human Modified",2,1,"Carnivore","Invertivore","In",-34.98,12.46,-9.8,-57.67,13065137.78
"Ducula oceanica","Columbidae","Columbiformes",24.5,13.6,6.3,6.2,31.3,214.8,156.8,58,145.2,27,371.5,"Forest",2,1,"Herbivore","Frugivore","In",-1.56,9.64,6.48,150.81,1327.13
"Alcippe formosana","Timaliidae","Passeriformes",10.4,5.1,3,2.5,21.6,53.3,44.4,8,53,15.2,10,"Forest",1,1,"Carnivore","Invertivore","In",22.56,24.65,23.77,121.13,8592.64
"Crypturellus undulatus","Tinamidae","Tinamiformes",34,12.4,5.8,6,48,172.5,137.8,35,56.6,20.3,564.4,"Forest",1,1,"Herbivore","Omnivore","Tr",-27.8,8.4,-8.43,-59.56,8533511.59
"Geothlypis beldingi","Parulidae","Passeriformes",15.2,9.1,4.2,3.3,22.6,61.3,50.9,10,64.6,16.4,15.7,"Wetland",2,1,"Carnivore","Invertivore","In",22.87,27.36,25.73,-111.49,3820.02
"Batis margaritae","Platysteiridae","Passeriformes",15.6,7.7,4,4.5,19.6,64.9,57.5,7.4,47.2,11.4,11.7,"Woodland",1,1,"Carnivore","Invertivore","In",-13.74,-11.08,-12.55,25.24,103855.36
"Corvus ossifragus","Corvidae","Passeriformes",43.3,27.2,14.8,13.8,47.1,276.7,176.2,100.6,157.1,36.3,284.6,"Coastal",3,1,"Omnivore","Omnivore","Tr",24.53,44.92,33.75,-84.16,970986.53
"Myiomela albiventris","Muscicapidae","Passeriformes",16.7,9.2,3.8,3.8,27.6,75.2,67.4,8.6,63.7,11.2,38.5,"Riverine",2,1,"Carnivore","Invertivore","Gn",8.43,10.43,9.86,77.25,1353.1
"Seicercus affinis","Sylviidae","Passeriformes",15.3,6.8,2.7,2.9,16.3,57.3,47.2,10.4,46.2,18.1,6.9,"Forest",1,2,"Carnivore","Invertivore","In",11.24,31.54,26.29,99.39,446873.33
"Turdus celaenops","Turdidae","Passeriformes",25.9,14.1,6.6,5.2,32.5,117.5,89.4,28,87.7,23.9,84.5,"Forest",2,1,"Omnivore","Omnivore","In",29.43,34.53,31.23,132.94,785.32
"Otus hartlaubi","Strigidae","Strigiformes",19.8,10.8,10.7,5.1,29.1,153.4,112.9,40.5,81.6,26.4,79,"Forest",1,1,"Carnivore",NA,"In",0.08,0.36,0.21,6.57,388.97
"Sheppardia montana","Muscicapidae","Passeriformes",15.5,8,3.9,3.8,29.7,73.8,63.8,9.9,55,13.4,21.8,"Forest",1,1,"Carnivore","Invertivore","In",-4.91,-4.45,-4.7,38.33,929.87
"Acropternis orthonyx","Rhinocryptidae","Passeriformes",22.9,10.4,6.5,4.5,36.4,94.8,89.9,5.2,88.9,5.5,89.9,"Forest",1,1,"Carnivore","Invertivore","In",-5.46,9.74,1.6,-76.74,112912
"Tyrannus vociferans","Tyrannidae","Passeriformes",23.8,14.9,7,8.5,19.5,128.9,89.6,41.3,96.9,31.9,45.6,"Forest",2,3,"Carnivore","Invertivore","In",16.36,46.22,28.68,-106.02,1436515.31
"Egretta thula","Ardeidae","Pelecaniformes",86.3,69.2,12,9.4,93.3,252.8,167.3,79.8,110.3,31.9,371,"Wetland",3,2,"Carnivore","Aquatic predator","Tr",-43.4,45.35,3.56,-70.78,19270773.23
"Harpactes wardi","Trogonidae","Trogoniformes",19.1,10.9,10.7,9.5,17.6,165.6,103.9,64.1,203.8,38.1,119,"Forest",1,1,"Carnivore","Invertivore","In",22.15,29.8,27.7,96.14,135655.75
"Himantornis haematopus","Rallidae","Gruiformes",39.5,19.8,12.1,6,76.8,208,178,23.5,83.4,11.7,585.7,"Forest",1,1,"Carnivore","Omnivore","Tr",-6.14,10.33,1.48,14.9,2352615.17
"Cinnycerthia unirufa","Troglodytidae","Passeriformes",18.8,10.5,4.6,3.8,26.9,73.6,66.3,9.2,71.6,12.3,29.4,"Forest",1,1,"Carnivore","Invertivore","Gn",-5.44,11.07,2.41,-76.16,153814.03
"Sylvia conspicillata","Sylviidae","Passeriformes",11.7,6,2.4,2.4,17.9,55.4,44.8,10.8,51.1,19.4,9,"Shrubland",2,3,"Carnivore","Invertivore","In",14.8,44.66,35.25,1.99,1315716.19
"Thraupis bonariensis","Thraupidae","Passeriformes",15.8,8.9,7.4,6.9,23.1,89,69.5,19.1,74.7,21.5,36,"Forest",2,2,"Omnivore","Frugivore","In",-41.34,0.54,-28.17,-62.94,2751783.64
"Mergus merganser","Anatidae","Anseriformes",69.4,38.4,11.7,10.4,50.9,270.8,145.7,123.8,107.2,46,1451,"Riverine",3,3,"Carnivore","Aquatic predator","Aq",29.19,71.19,54.96,28.88,24915961.61
"Anastomus oscitans","Ciconiidae","Ciconiiformes",156.7,129,37.7,21.5,137.7,397,238.8,160.5,162.4,40.2,1590,"Wetland",3,2,"Carnivore","Aquatic predator","Tr",5.92,29.12,20.66,85.13,2119789.43
"Grallaria albigula","Formicariidae","Passeriformes",24.2,15.5,8.1,6.9,52.8,98.3,93.3,6.2,68.2,6.1,95,"Forest",1,1,"Carnivore","Invertivore","Tr",-23.9,-12.85,-18.53,-65.95,45655.48
"Myiophobus phoenicomitra","Tyrannidae","Passeriformes",11.8,6.6,3.5,4.7,15.6,62.2,48,14.2,53,22.9,11,"Forest",1,1,"Carnivore","Invertivore","In",-6.68,7.14,-0.42,-77.74,45578.52
"Tangara mexicana","Thraupidae","Passeriformes",13,7.3,5,4.3,16.4,70.2,53.7,16.2,49.6,23.2,20.5,"Forest",2,1,"Omnivore","Omnivore","In",-23.74,10.84,-4.97,-61.9,7186078.25
"Vireolanius leucotis","Vireonidae","Passeriformes",19.6,11,6.5,5.6,21.6,70.1,59,11.3,48.9,16,26,"Forest",1,1,"Carnivore","Invertivore","In",-17.99,8.63,-3.46,-62.33,4316625.41
"Pomatorhinus schisticeps","Timaliidae","Passeriformes",31.8,22,6.9,3.8,32.6,93.4,83.2,9.8,97.8,10.5,43,"Forest",1,1,"Omnivore","Invertivore","Gn",7.1,32.56,20.81,97.25,1222844.41
"Cettia pallidipes","Sylviidae","Passeriformes",13,6.9,2.7,2.4,19.1,49.1,44.2,5.4,41,10.8,10,"Shrubland",2,1,"Carnivore","Invertivore","Gn",10.51,31.51,23.81,97.19,1159426.52
"Apus apus","Apodidae","Apodiformes",10.2,4.3,2.8,4,8.8,161.3,48.1,120.2,67.4,71.6,37.6,"Human Modified",1,3,"Carnivore","Invertivore","Ar",27.16,69.95,48.52,57.95,24779919.71
"Rollandia microptera","Podicipedidae","Podicipediformes",41.4,20.7,9.5,6.8,50.4,117.6,73.5,43,29.1,36.9,706,"Wetland",3,1,"Carnivore","Aquatic predator","Aq",-19.3,-15.09,-17.08,-68.32,48882.25
"Ortygospiza gabonensis","Estrildidae","Passeriformes",9.7,5.9,5.2,4.2,14.2,47.9,39.7,8.2,29.8,17.1,10.6,"Grassland",3,1,"Herbivore","Granivore","Tr",NA,NA,NA,NA,NA
"Tyto alba","Tytonidae","Strigiformes",32,17.7,13.1,8.5,59.6,280.2,168.7,111.5,118.3,39.7,403.3,"Human Modified",3,1,"Carnivore","Vertivore","In",-55.72,58.07,3.24,2.28,63140525.19
"Campephilus pollens","Picidae","Piciformes",49.4,35.9,11.3,11.8,30.4,174.6,145.9,28.5,127.5,16.4,187.9,"Forest",1,1,"Carnivore","Invertivore","In",-10.98,7.52,-0.02,-76.75,195689.25
"Ducula badia","Columbidae","Columbiformes",26.7,14.6,6.2,7,28.5,231.1,165.7,65.5,167.2,28.3,486,"Forest",2,1,"Herbivore","Frugivore","In",-6.96,29.19,11.81,102.92,3051711.01
"Cyornis pallipes","Muscicapidae","Passeriformes",15.9,9.9,3.9,4.6,17.7,72.9,61.3,10.8,62.6,15,19,"Forest",1,1,"Omnivore","Invertivore","In",8.29,19.33,13.32,75.49,52751.57
"Pachyptila salvini","Procellariidae","Procellariiformes",36.4,27.4,10.9,14.4,32.5,192.8,78.2,114.5,86.8,59.4,159,"Marine",3,2,"Carnivore","Aquatic predator","Aq",-61.39,-26.02,-44.92,92.82,32765003.85
"Stachyris nigrorum","Timaliidae","Passeriformes",15.2,8.8,3.8,3.4,22.3,68.2,57.3,10.9,49.6,16.1,21.6,"Forest",1,1,"Carnivore","Invertivore","In",9.09,10.51,9.52,123.12,468.62
"Charmosyna palmarum","Psittacidae","Psittaciformes",14.6,11.1,8.6,6.6,12.1,90.8,47.5,43.2,77,47.6,37,"Forest",1,1,"Herbivore","Nectarivore","In",-17.83,-9.83,-15.49,167.39,11109.69
"Xolmis rubetra","Tyrannidae","Passeriformes",19.9,11,3.9,4.4,29.5,118.2,81.2,36.9,80.5,31.2,36.3,"Shrubland",3,2,"Carnivore","Invertivore","Gn",-47.31,-32.55,-39.83,-67.16,685076.84
"Rhipidura personata","Rhipiduridae","Passeriformes",14.2,5.8,3.7,4.5,19.5,78.7,62.4,16.3,85.6,20.7,35.7,"Forest",1,1,"Carnivore","Invertivore","In",-19.17,-18.87,-19.03,178.25,462.6
"Loriculus galgulus","Psittacidae","Psittaciformes",15.7,11.7,8.5,6.6,10.1,79.6,46.2,33.8,32.2,42.1,28,"Forest",1,1,"Herbivore","Frugivore","In",-6.87,10.85,1.04,108.17,1413389.85
"Habia fuscicauda","Cardinalidae","Passeriformes",20.2,13.4,8.4,7.3,25.2,95.7,83.9,12.9,84.8,13.3,36.8,"Forest",2,1,"Carnivore","Invertivore","In",7.94,23.68,16.62,-89.52,581686.92
"Auriparus flaviceps","Remizidae","Passeriformes",9.8,7,3.9,3.2,15,52.1,45,7.6,48.9,14.4,6.8,"Shrubland",2,1,"Carnivore","Invertivore","In",19.05,37.57,28.91,-105.76,1879707.38
"Psittacula alexandri","Psittacidae","Psittaciformes",27.7,25.2,24.6,15.6,14.2,163.9,78.6,86.3,163.8,52.3,147,"Forest",2,1,"Herbivore","Omnivore","In",-8.85,30.8,19.3,99.68,2572495.73
"Anthus furcatus","Motacillidae","Passeriformes",13.5,8.6,4,3.6,20.5,74.8,53.9,20.9,56.8,27.9,20.1,"Grassland",3,1,"Carnivore","Invertivore","Tr",-42.89,-9.53,-31.04,-63.2,1987553.38
"Rhynchocyclus brevirostris","Tyrannidae","Passeriformes",20.9,10.4,5.2,8.3,18.8,76.6,63.3,13.3,63.8,17.3,24.3,"Forest",1,1,"Omnivore","Invertivore","In",7.23,21.48,15.56,-88.95,579326.26
"Dicaeum ignipectus","Dicaeidae","Passeriformes",9.4,6,2.7,2.5,11.7,46.8,35.9,10.9,24.6,23.3,5.7,"Forest",1,1,"Herbivore","Omnivore","In",-5.95,34.03,22.7,104.47,4695432.51
"Tanysiptera riedelii","Alcedinidae","Coraciiformes",39.9,29.4,12.1,11.8,17.8,99.2,77.7,21.6,209,21.8,63.5,"Forest",1,1,"Carnivore","Invertivore","In",-1.22,-0.63,-0.94,135.89,2526.51
"Cyornis rubeculoides","Muscicapidae","Passeriformes",13.6,8.2,3.7,4.4,16.5,69.4,54.1,15.1,60.1,21.7,14.2,"Forest",2,1,"Carnivore","Invertivore","In",12.75,34.71,26.13,100.2,1493812.15
"Plocepasser mahali","Passeridae","Passeriformes",18,10.8,7.9,5.7,23.3,97.2,79.3,18,61.1,18.4,41.5,"Woodland",3,1,"Omnivore","Omnivore","Tr",-33.15,12.58,-16.39,26.74,3098861.26
"Chordeiles minor","Caprimulgidae","Caprimulgiformes",12.7,6.1,2.7,3.3,16.7,192.8,76.6,118.7,104,60.7,79.3,"Grassland",3,3,"Carnivore","Invertivore","Ar",7.21,65.4,45.23,-100.42,13037233.58
"Cracticus torquatus","Cracticidae","Passeriformes",40.6,28.6,12.7,9.6,31.4,145,105.4,40.8,108.1,27.8,82.9,"Woodland",2,1,"Omnivore","Omnivore","In",-43.64,-10.9,-27.03,135.08,6403052.57
"Emberiza capensis","Emberizidae","Passeriformes",13.2,8,5.8,4.6,20.1,77.2,63.3,12.2,61.4,16.2,20.9,"Shrubland",3,1,"Herbivore","Granivore","Tr",NA,NA,NA,NA,NA
"Lampornis hemileucus","Trochilidae","Apodiformes",22.9,18.2,2.7,2.3,6,62.4,21.6,40.2,36.2,65.1,5.5,"Forest",1,1,"Herbivore","Nectarivore","Ar",8.51,10.55,9.49,-83.02,9354.91
"Agelaius phoeniceus","Icteridae","Passeriformes",22.7,15.4,8.8,5.6,28,118,88.9,27.8,88.9,24,50.8,"Wetland",3,3,"Herbivore","Granivore","Gn",9.66,67.41,44.62,-102.04,13703226.95
"Calliphlox mitchellii","Trochilidae","Apodiformes",17.4,13,1.3,1.5,3.9,35.7,12.3,23,26.8,65.1,3.1,"Forest",2,1,"Herbivore","Nectarivore","Ar",-4.11,7.89,3,-77.01,59801.22
"Delothraupis castaneoventris","Thraupidae","Passeriformes",16.7,9.1,6.4,4.3,24.2,80.9,65.8,15.1,70,18.7,28,"Forest",1,1,"Omnivore","Omnivore","In",-17.95,-7.08,-13.16,-71.77,131249.53
"Callipepla gambelii","Odontophoridae","Galliformes",14.9,9.6,6.6,6.3,30.7,112.8,80.8,32,87.8,28.4,166,"Shrubland",2,1,"Herbivore","Omnivore","Tr",24.58,40.03,33.22,-111.07,542153.29
"Ducula pacifica","Columbidae","Columbiformes",27.9,16.3,7.6,7.4,36.7,244.4,166.5,79.8,160.2,32.5,394.2,"Forest",2,1,"Herbivore","Frugivore","In",-22.71,-0.88,-16.84,106.36,29576.66
"Alectoris magna","Phasianidae","Galliformes",23.6,15.9,10.2,9.3,42.5,172.4,124.9,45.8,96,26.8,541.4,"Rock",3,1,"Herbivore","Herbivore terrestrial","Tr",33.01,39.79,36.72,100.28,624646.35
"Afropavo congensis","Phasianidae","Galliformes",37.6,16.3,9.4,9.1,95,297.2,268.1,30.1,159.8,10.1,1273.7,"Forest",1,1,"Omnivore","Invertivore","Tr",-5,2.21,-1.2,24.24,697505.34
"Ploceus melanogaster","Ploceidae","Passeriformes",19,12.6,6.1,5.4,20.3,69.2,61.7,7.6,48,10.9,22.4,"Forest",1,1,"Carnivore","Invertivore","In",-4.22,7.55,0.02,29.43,221733.17
"Zosterops salvadorii","Zosteropidae","Passeriformes",15.3,8,3,3.1,16.7,55.8,44.6,11.2,38.8,20.1,8.6,"Forest",2,1,"Omnivore","Omnivore","In",-5.52,-3.99,-5.38,102.24,404.97
"Coracina larvata","Campephagidae","Passeriformes",28.4,17,10.4,11.7,25.5,145.5,102.7,42.8,109.1,29.4,94.5,"Forest",1,1,"Carnivore","Invertivore","In",-8.36,6.55,0.2,108.51,524076.97
"Pelecanus thagus","Pelecanidae","Pelecaniformes",380.4,331,46.4,43.1,102.5,615,313.8,295.5,151.6,48.5,3427.8,"Marine",3,1,"Carnivore","Aquatic predator","Ar",-33.78,-3.45,-18.43,-74.24,367189.12
"Uratelornis chimaera","Brachypteraciidae","Coraciiformes",35.4,23,8.9,8.1,47.6,107.2,88.8,16.2,249,15.6,226,"Woodland",2,1,"Carnivore","Invertivore","Tr",-23.42,-21.71,-22.44,43.64,10424.48
"Amazilia decora","Trochilidae","Apodiformes",24.8,18.9,2.6,2.1,5.1,52.3,20.4,32.6,30.8,61.6,4.7,"Forest",2,1,"Herbivore","Nectarivore","Ar",8.03,9.79,8.9,-83.32,13144.24
"Rhamphocoris clotbey","Alaudidae","Passeriformes",19.5,14,12.8,7.4,22.4,126.6,72.7,53.8,65,42.5,49.1,"Desert",3,2,"Herbivore","Omnivore","Tr",21.95,34.65,30.73,5.87,934337.78
"Onychognathus blythii","Sturnidae","Passeriformes",30.7,17,9.1,5.8,37.3,165.1,116.3,47.9,167,29.2,100,"Rock",3,1,"Omnivore","Omnivore","In",7.8,16.41,11.56,44.19,282533.08
"Rhynchostruthus socotranus","Fringillidae","Passeriformes",17.5,12,11.4,8.3,19.3,85.5,60.4,25.1,53,29.4,28.3,"Woodland",2,1,"Herbivore","Omnivore","In",12.3,12.71,12.51,53.87,3622.4
"Platysteira concreta","Platysteiridae","Passeriformes",14.6,7.8,4,5.2,17,57.7,50.4,7.9,27.5,13.5,11.4,"Forest",1,1,"Carnivore","Invertivore","In",-14.38,9.34,0.96,13.03,1143902.94
"Cossypha polioptera","Muscicapidae","Passeriformes",16.8,8.8,4.1,4.6,24.5,78.8,67.3,11.5,62.9,14.5,18.7,"Shrubland",1,1,"Carnivore","Invertivore","Tr",-12.12,10.53,1.93,17.35,644019.5
"Grallina bruijni","Monarchidae","Passeriformes",22.1,12.5,4.4,4.4,26.3,104.2,87.7,16.2,75.4,15.6,38.4,"Forest",2,2,"Carnivore","Aquatic predator","Tr",-10.48,-0.4,-5.27,141.92,259817.04
"Tesia olivea","Sylviidae","Passeriformes",12.5,6.2,2.9,3,22.1,47.6,42.3,4.4,20.5,9.4,7,"Forest",1,1,"Carnivore","Invertivore","Tr",15.49,32.53,25.16,100.72,1755868.45
"Sterna nilotica","Laridae","Charadriiformes",43.9,27.2,11.2,6.2,31.9,307.7,107.7,207.5,121.5,65.8,218.3,"Coastal",3,3,"Carnivore","Omnivore","Ar",-39.99,55.34,10.96,78.69,13188209.57
"Buteo regalis","Accipitridae","Accipitriformes",41.3,23.8,20.2,18.3,81.6,431,254.5,179.2,240.6,41.3,1437.2,"Grassland",3,3,"Carnivore","Vertivore","Gn",33.21,53.3,43.14,-108.76,2780053.23
"Xiphorhynchus guttatus","Dendrocolaptidae","Passeriformes",40.8,29.7,8.5,6.3,24.6,114.7,96,19.3,106.6,16.7,59.7,"Forest",1,1,"Carnivore","Invertivore","In",-23.04,10.25,-5.97,-59.86,8330683.7
"Spindalis portoricensis","Thraupidae","Passeriformes",15.5,8.3,6.4,5.6,19.6,83.6,65.4,18.3,60,21.9,32.1,"Shrubland",2,1,"Herbivore","Frugivore","In",17.93,18.52,18.23,-66.48,8774.42
"Microbates cinereiventris","Polioptilidae","Passeriformes",20,12.6,3.1,3.4,23.1,53,46.6,6.2,27.2,11.8,11.9,"Forest",2,1,"Carnivore","Invertivore","Gn",-15.24,11.49,-0.5,-76.76,551552.19
"Megaxenops parnaguae","Furnariidae","Passeriformes",15.6,13.1,6,3.7,18.2,75.3,63.6,11.2,65.5,15.2,25,"Woodland",2,1,"Carnivore","Invertivore","In",-17.65,-3.41,-11.25,-42.76,658330.63
"Sylvia melanothorax","Sylviidae","Passeriformes",12.2,6.8,2.8,2.5,18.1,57.5,46.5,10.9,56.4,18.9,11.4,"Forest",2,3,"Carnivore","Invertivore","In",34.56,35.7,35.04,33.21,7952.61
"Prionops scopifrons","Malaconotidae","Passeriformes",22,12.4,6.2,5.7,18,97.6,84.2,14.5,80.8,14.7,29.4,"Woodland",2,1,"Carnivore","Invertivore","In",-25.65,2.08,-12.3,37.28,795156.97
"Hylophilus amaurocephalus","Vireonidae","Passeriformes",12.6,7.7,4.2,3.5,17.2,52.8,46.2,6.8,49.3,12.9,11.7,"Shrubland",1,1,"Omnivore","Invertivore","In",-24.15,-3.68,-14.58,-44.14,1515487.23
"Rhopornis ardesiacus","Thamnophilidae","Passeriformes",20.8,11.8,4.7,4.1,31.3,71.1,61.8,3.4,87.7,4.9,26.3,"Woodland",1,1,"Carnivore","Invertivore","In",-16.1,-13.08,-13.79,-40.16,2437.29
"Thlypopsis inornata","Thraupidae","Passeriformes",13.6,7.7,4.8,4.3,20.6,67.2,56.1,11.2,59.2,16.6,15,"Shrubland",2,1,"Carnivore","Invertivore","In",-7.01,-4.84,-6.03,-78.49,20048.29
"Garrulax ruficeps","Timaliidae","Passeriformes",24.6,15.1,7.4,6.1,43.3,123.5,115.2,8.3,131,6.8,97.6,"Forest",2,1,"Omnivore","Invertivore","In",22.42,24.85,23.8,121.11,10390.2
"Turdoides gularis","Timaliidae","Passeriformes",21.4,12.9,6.1,4,28.7,88.2,79.9,8.1,149.6,9.1,45.5,"Shrubland",2,1,"Carnivore","Invertivore","Tr",15.7,25.08,20.51,95.45,216441.28
"Gerygone palpebrosa","Acanthizidae","Passeriformes",12.1,7.2,3,3.1,16.8,52.3,43.3,8.1,38,15.8,7.4,"Forest",1,1,"Carnivore","Invertivore","In",-27.21,-0.01,-11.54,143.37,969224.38
"Nectarinia neergardi","Nectariniidae","Passeriformes",15.9,12,2.6,3.2,15.7,50.8,43.2,6.4,35.3,13,6.1,"Shrubland",2,1,"Omnivore","Omnivore","In",-28.46,-20.47,-23.73,33.83,138996.95
"Estrilda quartinia","Estrildidae","Passeriformes",8.7,6.3,5,4.2,13,46.8,39,7.7,36.9,16.6,6.7,"Shrubland",2,1,"Omnivore","Granivore","Gn",-21.15,14.85,-0.47,35.35,676732.96
"Porzana pusilla","Rallidae","Gruiformes",17.4,9.2,4.8,2.4,25,84.4,54.5,29.8,32.2,35.3,35.4,"Wetland",1,3,"Carnivore","Aquatic predator","Tr",-47.29,63.86,23.48,74.5,19543407.73
"Orthotomus heterolaemus","Sylviidae","Passeriformes",15,10.3,2.8,2.4,19.4,45,43,2,40.8,4.4,8.3,"Forest",1,1,"Carnivore","Invertivore","In",6.29,8.95,7.74,125.17,7657.18
"Caprimulgus ruwenzorii","Caprimulgidae","Caprimulgiformes",16,7.5,2.8,4.2,17.1,158.8,85.5,73.2,115.5,46.1,48.9,"Forest",2,2,"Carnivore","Invertivore","Ar",NA,NA,NA,NA,NA
"Diuca diuca","Emberizidae","Passeriformes",17.4,10.8,7.8,5.3,21.3,85.2,65.2,20.1,66.8,23.5,36.8,"Shrubland",2,1,"Herbivore","Granivore","Tr",-53.08,-20.53,-39.3,-68.83,1792263.45
"Icterus wagleri","Icteridae","Passeriformes",24.2,15.2,5.9,4.5,23.9,101.2,77.5,22.8,106.2,22.7,41.8,"Forest",2,1,"Omnivore","Invertivore","In",12.65,29.81,20.69,-100.52,690465.83
"Larus audouinii","Laridae","Charadriiformes",57.1,25,14.8,6.8,53.7,394.4,157.8,236.2,150.8,60,535,"Marine",3,2,"Carnivore","Aquatic predator","Ar",35,43.23,37.53,5.5,22485.41
"Batis minulla","Platysteiridae","Passeriformes",14.3,7,3.6,4.9,17,52.9,46.8,6.2,37.1,11.7,9.9,"Woodland",2,1,"Carnivore","Invertivore","In",-15.29,1.1,-4.71,15.92,474658.69
"Fraseria cinerascens","Muscicapidae","Passeriformes",16.2,9.7,4,4,18.1,76.8,65.8,10.9,65.8,14.2,23.1,"Forest",2,1,"Carnivore","Invertivore","In",-7.72,12.97,2.44,12.47,3468124.82
"Ciconia boyciana","Ciconiidae","Ciconiiformes",225.2,180.5,38.8,24,254.5,602.4,332.2,268.2,228,44.6,4847.7,"Wetland",3,3,"Carnivore","Aquatic predator","Tr",43.92,52.15,47.77,130.95,475164.45
